Season,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
2021,"Tyler Anderson","- - -",167,5.873739319161946,,-0.4019699952181648,,,11.240203970870121,-0.8388458788394928,-2.7151607424020767,-2.798142433166504,,7.907272648327808,,,"Tyler Anderson",12880,542881
2021,"Alex Claudio","LAA",32.2,9.76645987374442,,,,,10.264200239039178,-2.9396406449611834,,,,11.41831105905813,,,"Alex Claudio",12890,592222
2021,"Dylan Bundy","LAA",90.2,-3.596346698044817,,,,,-7.539288190834423,1.8016155077063518,4.668242271129902,,,-7.52197973808033,,,"Dylan Bundy",12917,605164
2021,"Archie Bradley","PHI",51,-5.452515498114849,,,,,-8.352509520369578,,,2.953667914117133,,-7.398596286773682,,,"Archie Bradley",12918,605151
2021,"Joe Musgrove","SDP",181.1,-3.2601358231587625,,0.5204428146932727,,,-6.284032678604126,7.448123632692823,5.88585794552691,,,-5.676619784932741,,,"Joe Musgrove",12970,605397
2021,"Joe Ross","WSN",108,-4.0180026923908905,,,,,-8.936602390173709,1.0694682078253954,,,,-8.562307027670053,,,"Joe Ross",12972,605452
2021,"Andrew Chafin","- - -",68.2,5.459072440011161,,,,,8.56642796443059,0.022945159912109374,,,,6.5746541023254395,,,"Andrew Chafin",12988,605177
2021,"Anthony DeSclafani","SFG",167.2,-6.047898838285766,,,,,-9.371027212722746,1.7703250412873084,,2.9790482154259315,,-9.377683724930037,,,"Anthony DeSclafani",13050,543101
2021,"Yu Darvish","SDP",166.1,-4.1407733992034315,,0.2367935998099191,-4.605972855179398,,-8.336763616193805,5.139317560548187,5.475573922705463,4.264369501131717,,,,,"Yu Darvish",13074,506433
2021,"Gerrit Cole","NYY",181.1,-7.5156319754464285,,,,,-10.257165908813477,2.261048011606127,,5.3077804729502684,,-9.611441206762173,,,"Gerrit Cole",13125,543037
