Season,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
2021,"Gregory Soto","DET",63.2,98.240478515625,,,,,98.20337620578778,88.3439981617647,,,,,,,"Gregory Soto",19677,642397
2021,"Anthony Bender","MIA",61.1,97.4500020345052,,,,,96.83551739889478,84.60466498480903,,,,90.07142857142857,,,"Anthony Bender",19742,669622
2021,"Jonathan Loáisiga","NYY",70.2,97.83809988839286,,90.4000015258789,,,98.31728450083892,90.08846341646634,86.73665511877829,,,89.977998046875,,,"Jonathan Loaisiga",19753,642528
2021,"Shohei Ohtani","LAA",130.1,95.5993291059417,,87.03252855170683,88.1065384451635,,,82.23777777777778,74.45507104846014,,,,,,"Shohei Ohtani",19755,660271
2021,"Will Vest","SEA",35,93.52774453576589,,,,,,85.17412860576923,,,,84.53697807247899,,,"Will Vest",19769,676684
2021,"Keegan Thompson","CHC",53.1,93.87937482483184,,89.68517184529468,,,92.8999985914964,,82.45990595087275,,,86.72727550159802,,,"Keegan Thompson",19795,624522
2021,"Wil Crowe","PIT",116.2,93.73179626464844,,,,,92.90549325382008,85.28115389240322,80.42334972499225,,,85.05341379672666,,,"Wil Crowe",19800,640444
2021,"Riley Smith","ARI",67.1,92.5999984741211,,84.23177387558411,,,92.8543935769544,82.23958333333333,79.3208687160326,,,86.4521967290522,,,"Riley Smith",19826,642092
2021,"Alex Wells","BAL",42.2,88.49791301199413,,,,,,81.13140314275569,72.69315202268835,,,83.19903916579027,,,"Alex Wells",19845,649144
2021,"Darwinzon Hernández","BOS",40,94.8306700884755,,,,,95.17143031529018,83.53032384072581,79.54390362995427,,,,,,"Darwinzon Hernandez",19848,650382
2021,"Michael King","NYY",63.1,95.22584105073736,,87.96666602839052,,,93.87887704439252,79.76504901774878,80.53333536783855,,,84.89920479910714,,,"Michael King",19853,650633
2021,"Charlie Barnes","MIN",38,,,,,,89.75155692447015,81.78427565472681,73.55000305175781,,,79.29110062684065,,,"Charlie Barnes",19865,656212
2021,"Brandon Bielak","HOU",50,93.99223851445896,,90.03863525390625,,,93.22121175130208,82.91773066960329,80.27674333439317,,,88.21134272309922,,,"Brandon Bielak",19866,656232
2021,"Griffin Canning","LAA",62.2,93.51156650811366,,,,,,88.18103321996229,81.87916666666666,,,89.09432143831877,,,"Griffin Canning",19867,656288
2021,"Tanner Houck","BOS",69,94.47426327948645,,,85.75999755859375,,93.15281951121794,84.36854230853874,,,,,,,"Tanner Houck",19879,656557
